PAIS,Italia,Iran,Corea del Sur
04/02/2020,2,0,16
05/02/2020,2,0,18
06/02/2020,2,0,23
07/02/2020,3,0,24
08/02/2020,3,0,24
09/02/2020,3,0,27
10/02/2020,3,0,27
11/02/2020,3,0,28
12/02/2020,3,0,28
13/02/2020,3,0,28
14/02/2020,3,0,28
15/02/2020,3,0,28
16/02/2020,3,0,29
17/02/2020,3,0,30
18/02/2020,3,0,15
19/02/2020,3,0,51
20/02/2020,3,2,104
21/02/2020,3,5,204
22/02/2020,9,18,346
23/02/2020,76,28,602
24/02/2020,124,43,763
25/02/2020,229,61,977
26/02/2020,322,95,1261
27/02/2020,400,141,1766
28/02/2020,650,245,2337
29/02/2020,888,388,3150
01/03/2020,1128,593,3736
02/03/2020,1689,978,4212
03/03/2020,2036,1501,4812
04/03/2020,2502,2336,5328
05/03/2020,3089,2922,5766
06/03/2020,3858,3513,6284
07/03/2020,4636,4747,6767
08/03/2020,5883,5823,7134
09/03/2020,7375,6566,7382
10/03/2020,9172,7161,7513
11/03/2020,10149,8042,7755
12/03/2020,12462,9000,7866
