PAIS,Italia,Iran,Corea del Sur
04/02/2020,0.00120919,0.00120919,0.00120919
05/02/2020,0.00120919,0.00120919,0.00120919
06/02/2020,0.00120919,0.00120919,0.00120919
07/02/2020,0.00120919,0.00120919,0.00120919
08/02/2020,0.00120919,0.00120919,0.00120919
09/02/2020,0.00120919,0.00120919,0.00120919
10/02/2020,0.00120919,0.00120919,0.00120919
11/02/2020,0.00120919,0.00120919,0.00120919
12/02/2020,0.00120919,0.00120919,0.00120919
13/02/2020,0.00120919,0.00120919,0.00120919
14/02/2020,0.00120919,0.00120919,0.00120919
15/02/2020,0.00120919,0.00120919,0.00120919
16/02/2020,0.00120919,0.00120919,0.00120919
17/02/2020,0.00120919,0.00120919,0.00120919
18/02/2020,0.00120919,0.00120919,0.00120919
19/02/2020,0.00120919,0.00120919,0.00120919
20/02/2020,0.00120919,0.00241838,0.00120919
21/02/2020,0.00120919,0.00241838,0.00120919
22/02/2020,0.00120919,0.004836759,0.00241838
23/02/2020,0.00241838,0.006045949,0.006045949
24/02/2020,0.00241838,0.009673519,0.008464329
25/02/2020,0.007255139,0.014510278,0.013301088
26/02/2020,0.013301088,0.018137848,0.014510278
27/02/2020,0.014510278,0.026602177,0.015719468
28/02/2020,0.020556227,0.031438936,0.015719468
29/02/2020,0.025392987,0.041112455,0.020556227
01/03/2020,0.035066505,0.051995163,0.021765417
02/03/2020,0.042321644,0.065296252,0.026602177
03/03/2020,0.062877872,0.07980653,0.033857316
04/03/2020,0.097944377,0.093107618,0.038694075
05/03/2020,0.141475212,0.111245466,0.042321644
06/03/2020,0.178960097,0.141475212,0.050785973
07/03/2020,0.238210399,0.149939541,0.053204353
08/03/2020,0.282950423,0.175332527,0.061668682
09/03/2020,0.442563482,0.23458283,0.061668682
10/03/2020,0.559854897,0.286577993,0.065296252
11/03/2020,0.762998791,0.351874244,0.07376058
12/03/2020,1,0.428053204,0.07980653
